name	xtern	dthreads	coredet
"parsec\\_blackscholes"	1.129350348	0.794693878	0.751447318
"parsec\\_canneal"	1.018968572	1.055650023	0.666430828
"parsec\\_ferret"	0.105661347	0.095436338	0.118149525
"parsec\\_fluidanimate"	0.770399939	0.012965286	0.174242161
"parsec\\_streamcluster"	6.178657917	2.926552209	1.4516206
"parsec\\_swaptions"	0.969448584	0.903054142	0.112549743
"splash2x\\_barnes"	0.495101733	0.114333523	0.210626256
"splash2x\\_fft"	1.097436768	0.775489804	0.410024946
"splash2x\\_lu_cb"	1.433149918	1.097022094	0.304395965
"splash2x\\_lu_ncb"	1.293625177	0.92599278	0.092583903
"splash2x\\_ocean_cp"	1.273127962	1.018811393	0.427312495
"splash2x\\_radix"	0.857748888	0.48519565	0.206201168
"splash2x\\_raytrace"	0.086716344	0.120688344	0.06966711
"splash2x\\_volrend"	0.808058401	0.711369124	0.5167922
"splash2x\\_water_nsquared"	1.040670624	0.425114282	0.28567339
"splash2x\\_water_spatial"	1.24161929	1.02359596	0.223372364
"phoenix\\_histogram-ite"	0.703383163	0.538878843	0.078771147
"phoenix\\_kmeans-ite"	0.359498049	0.108232844	0.317621555
"phoenix\\_l. regress-ite"	3.380168821	1.292543412	0.5457133
"phoenix\\_m. multiply-ite"	0.9339026	0.917153773	0.596726355
"phoenix\\_pca-ite"	0.802710975	0.286106133	0.256740882
"phoenix\\_s. match-ite"	1.006154778	1.181796634	0.056574871
"phoenix\\_w. count-ite"	0.931779464	0.450792343	0.063524157
"phoenix\\_histogram-mr"	0.598023804	0.014096162	0.306903308
"phoenix\\_kmeans-mr"	0.771259019	0.004852389	0.05906016
"phoenix\\_l. regress-mr"	0.755422823	0.226555625	0.572279114
"phoenix\\_m.multiply-mr"	0.653415949	0.607676134	0.605311921
"phoenix\\_pca-mr"	0.655115705	0.039755392	0.15650281
"phoenix\\_s. match-mr"	0.627070849	0.593	0.065951176
"phoenix\\_w. count-mr"	0.75717528	0.001860619	0.236164881

